,Neurological Disease,Source,Disease Class
13179,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
13180,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13181,"Recurrent depressive disorder, current episode mild, with seasonal pattern",ICD,Diseases of the nervous system
13182,"Recurrent depressive disorder, current episode mild, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13183,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms",ICD,Diseases of the nervous system
13184,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
13185,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
13186,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
13187,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13188,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
13189,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
13190,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
13191,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
13192,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
13193,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13194,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
13195,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
13196,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13197,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
13198,"Recurrent depressive disorder, current episode moderate, with psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13199,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms",ICD,Diseases of the nervous system
13200,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
13201,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
13202,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
13203,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13204,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
13205,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
13206,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
13207,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
13208,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
13209,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13210,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
13211,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
13212,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13213,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
13214,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13215,"Recurrent depressive disorder, current episode severe, with psychotic symptoms",ICD,Diseases of the nervous system
13216,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
13217,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
13218,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
13219,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13220,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
13221,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
13222,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
13223,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
13224,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
13225,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13226,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
13227,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
13228,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13229,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
13230,"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13231,"Recurrent depressive disorder, current episode severe, without psychotic symptoms",ICD,Diseases of the nervous system
13232,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
13233,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
13234,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
13235,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13236,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
13237,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
13238,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
13239,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
13240,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
13241,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13242,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
13243,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
13244,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13245,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
13246,"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13247,"Recurrent depressive disorder, current episode, unspecified severity",ICD,Diseases of the nervous system
13248,"Recurrent depressive disorder, currently in full remission",ICD,Diseases of the nervous system
13249,"Recurrent depressive disorder, currently in partial remission",ICD,Diseases of the nervous system
13250,Recurrent dislocation of the jaw,ICD,Diseases of the nervous system
13251,Recurrent episodes of focal cerebral ischaemia,ICD,Diseases of the nervous system
13252,Recurrent gastrointestinal disturbance,ICD,Diseases of the nervous system
13253,Recurrent isolated sleep paralysis,ICD,Diseases of the nervous system
13254,Recurrent optic neuritis aquaporin-4 antibody positive,ICD,Diseases of the nervous system
13255,Recurrent transverse myelitis aquaporin-4 antibody positive,ICD,Diseases of the nervous system
13256,Reduced Sensation,MeSH,Neurologic Manifestations
13257,Reduced Sensations,MeSH,Neurologic Manifestations
13258,Reduced Vision,MeSH,Neurologic Manifestations
13259,Reducing body myopathy,ICD,Diseases of the nervous system
13260,"Reductase Deficiencies, Lysine:Alpha-Ketoglutarate",MeSH,Central Nervous System Diseases
13261,"Reductase Deficiency, Lysine:Alpha-Ketoglutarate",MeSH,Central Nervous System Diseases
13262,"Reflex Dystrophia, Sympathetic",MeSH,Autonomic Nervous System Diseases
13263,Reflex Epilepsies,MeSH,Central Nervous System Diseases
13264,Reflex Epilepsy,MeSH,Central Nervous System Diseases
13265,Reflex Sympathetic Dystrophies,MeSH,Autonomic Nervous System Diseases
13266,Reflex Sympathetic Dystrophy,MeSH,Autonomic Nervous System Diseases
13267,Reflex Sympathetic Dystrophy Syndrome,MeSH,Autonomic Nervous System Diseases
13268,Reflex convulsions,ICD,Diseases of the nervous system
13269,Reflex epilepsies,ICD,Diseases of the nervous system
13270,Reflex syncope,ICD,Diseases of the nervous system
13271,"Reflex, Abnormal",MeSH,Neurologic Manifestations
13272,"Reflexes, Abnormal",MeSH,Neurologic Manifestations
13273,Refractory Epilepsies,MeSH,Central Nervous System Diseases
13274,"Refractory Epilepsies, Drug",MeSH,Central Nervous System Diseases
13275,Refractory Epilepsy,MeSH,Central Nervous System Diseases
13276,"Refractory Epilepsy, Drug",MeSH,Central Nervous System Diseases
13277,Refsum Disease,MeSH,Nervous System Malformations
13278,"Refsum Disease, Adult",MeSH,Nervous System Malformations
13279,"Refsum Disease, Classic",MeSH,Nervous System Malformations
13280,"Refsum Disease, Infantile",MeSH,Central Nervous System Diseases
13281,"Refsum Disease, Infantile Form",MeSH,Central Nervous System Diseases
13282,"Refsum Diseases, Adult",MeSH,Nervous System Malformations
13283,"Refsum Diseases, Classic",MeSH,Nervous System Malformations
13284,Refsum Syndrome,MeSH,Nervous System Malformations
13285,Refsum Thiebaut Syndrome,MeSH,Nervous System Malformations
13286,Refsum disease,ICD,Diseases of the nervous system
13287,Refsum disease causing ophthalmoplegia,ICD,Diseases of the nervous system
13288,Refsum's Disease,MeSH,Nervous System Malformations
13289,"Refsum's Disease, Infantile",MeSH,Central Nervous System Diseases
13290,Refsum's Syndrome,MeSH,Nervous System Malformations
13291,Refsum-Thiebaut Syndrome,MeSH,Nervous System Malformations
13292,Refsum-Thiebaut Syndromes,MeSH,Nervous System Malformations
13293,Refsums Disease,MeSH,Nervous System Malformations
13294,"Refsums Disease, Infantile",MeSH,Central Nervous System Diseases
13295,Refsums Syndrome,MeSH,Nervous System Malformations
13296,Regurgitation disorder,ICD,Diseases of the nervous system
13297,Relapsing Remitting Multiple Sclerosis,MeSH,Demyelinating Diseases
13298,Relapsing remitting chronic inflammatory demyelinating neuropathy,ICD,Diseases of the nervous system
13299,Relapsing-Remitting Multiple Sclerosis,MeSH,Demyelinating Diseases
